totalClients, totalMessages, totalMessagesLost
1, 100, 0
1, 200, 0
1, 400, 0
1, 800, 0
1, 1600, 125
1, 3200, 301
1, 6400, 716
2, 200, 0
2, 400, 50
2, 800, 273
2, 1600, 717
2, 3200, 1667
2, 6400, 3675
2, 12800, 7486
4, 400, 37
4, 800, 387
4, 1600, 1090
4, 3200, 2271
4, 6400, 5032
4, 12800, 10196
4, 25600, 20300
8, 800, 395
8, 1600, 1201
8, 3200, 2652
8, 6400, 5641
8, 12800, 11439
8, 25600, 21764
8, 51200, 46140
16, 1600, 972
16, 3200, 2654
16, 6400, 5609
16, 12800, 11582
16, 25600, 23213
16, 51200, 46447
16, 102400, 93905
32, 3200, 2012
32, 6400, 5708
32, 12800, 11757
32, 25600, 23677
32, 51200, 48440
32, 102400, 95840
32, 204800, 195677
64, 6400, 3375
64, 12800, 11700
64, 25600, 23905
64, 51200, 48377
64, 102400, 97652
64, 204800, 158197
64, 409600, 395666
128, 12800, 9212
128, 25600, 23951
128, 51200, 48592
128, 102400, 96711
128, 204800, 194180
128, 409600, 390067
128, 819200, 517907
256, 25600, 15789
256, 51200, 42652
256, 102400, 80059
256, 204800, 120304
256, 409600, 224267
256, 819200, 559311
256, 1638400, 900336
5, 25, 0
3, 15, 0
